seed,gridsize,ncount,method,runtime
64,1000,28,4,1.240369
64,1000,28,6,
73,1000,29,2,
73,1000,29,4,0.019839
73,1000,29,6,
66,1000,30,2,109.839807
66,1000,30,4,4.778921
66,1000,30,6,
41,1000,31,2,6.140328
41,1000,31,4,0.008748
41,1000,31,6,
17,1000,32,2,
17,1000,32,4,6.185443
17,1000,32,6,
73,5000,26,2,0.842439
73,5000,26,4,4.232858
73,5000,26,6,
21,5000,27,2,1.565818
21,5000,27,4,1.985101
21,5000,27,6,
33,5000,28,2,101.416134
33,5000,28,4,0.025722
33,5000,28,6,239.561823
11,5000,29,2,24.983095
11,5000,29,4,0.010148
11,5000,29,6,
99,5000,30,2,421.994548
99,5000,30,4,0.022712
99,5000,30,6,
71,5000,31,2,1.130469
71,5000,31,4,0.007194
71,5000,31,6,
98,5000,32,2,491.890986
98,5000,32,4,0.008488
98,5000,32,6,
13,100,26,2,27.084723
13,100,26,4,0.012113
13,100,26,6,
53,100,27,2,0.174716
53,100,27,4,2.708287
53,100,27,6,
57,100,28,2,22.835468
57,100,28,4,1.540735
57,100,28,6,
92,100,29,2,16.126691
92,100,29,4,0.00761
92,100,29,6,
31,100,30,2,17.680176
31,100,30,4,0.007752
31,100,30,6,
88,100,31,2,25.515117
88,100,31,4,0.029942
88,100,31,6,
22,100,32,2,53.033758
22,100,32,4,0.02668
22,100,32,6,
27,1000,26,2,97.194148
27,1000,26,4,0.011052
27,1000,26,6,83.983587
62,1000,27,2,57.804679
62,1000,27,4,3.719956
62,1000,27,6,
44,1000,28,2,6.776311
44,1000,28,4,0.704241
44,1000,28,6,
52,1000,29,2,175.252038
52,1000,29,4,0.009502
52,1000,29,6,
40,1000,30,2,117.489465
40,1000,30,4,0.01279
40,1000,30,6,
20,1000,31,2,44.149094
20,1000,31,4,0.050927
20,1000,31,6,
56,1000,32,2,64.699682
56,1000,32,4,0.010101
56,1000,32,6,
41,5000,26,2,95.116991
41,5000,26,4,0.127563
41,5000,26,6,
22,5000,27,2,1.793929
22,5000,27,4,0.25434
22,5000,27,6,
81,5000,28,2,
81,5000,28,4,0.013139
81,5000,28,6,240.817994
17,5000,29,2,1.651599
17,5000,29,4,0.014479
17,5000,29,6,
89,5000,30,2,50.963817
89,5000,30,4,0.013819
89,5000,30,6,
88,5000,31,2,28.609261
88,5000,31,4,0.010431
88,5000,31,6,
14,5000,32,2,518.957987
14,5000,32,4,0.01748
14,5000,32,6,
27,100,26,2,10.848726
27,100,26,4,8.123904
27,100,26,6,
85,100,27,2,78.664165
85,100,27,4,0.062132
85,100,27,6,
19,100,28,2,157.048927
19,100,28,4,0.016796
19,100,28,6,
55,100,29,2,4.464451
55,100,29,4,0.371632
55,100,29,6,
49,100,30,2,465.797023
49,100,30,4,0.114737
49,100,30,6,
13,100,31,2,79.514308
13,100,31,4,9.74828
13,100,31,6,
27,100,32,2,105.604957
27,100,32,4,0.89524
27,100,32,6,
23,1000,26,2,0.060589
23,1000,26,4,0.409812
23,1000,26,6,
43,1000,27,2,1.378684
43,1000,27,4,1.876272
43,1000,27,6,
66,1000,28,2,79.438232
66,1000,28,4,2.457707
66,1000,28,6,
61,1000,29,2,42.597615
61,1000,29,4,0.009553
61,1000,29,6,
60,1000,30,2,
60,1000,30,4,0.591554
60,1000,30,6,
87,1000,31,2,22.806831
87,1000,31,4,0.06003
87,1000,31,6,
15,1000,32,2,12.423082
15,1000,32,4,0.020616
15,1000,32,6,
5,5000,26,2,19.368129
5,5000,26,4,0.791917
5,5000,26,6,39.860173
19,5000,27,2,1.233646
19,5000,27,4,0.027816
19,5000,27,6,
99,5000,28,2,400.479148
99,5000,28,4,0.007268
99,5000,28,6,231.551289
18,5000,29,2,
18,5000,29,4,0.01919
18,5000,29,6,
95,5000,30,2,79.489345
95,5000,30,4,0.008155
95,5000,30,6,
23,5000,31,2,7.641654
23,5000,31,4,0.008597
23,5000,31,6,
84,5000,32,2,36.646234
84,5000,32,4,0.085693
84,5000,32,6,
53,100,26,2,0.17972
53,100,26,4,0.006519
53,100,26,6,34.245329
42,100,27,2,30.994654
42,100,27,4,0.093483
42,100,27,6,
86,100,28,2,
86,100,28,4,0.048791
86,100,28,6,258.220091
56,100,29,2,55.778686
56,100,29,4,0.013106
56,100,29,6,
94,100,30,2,4.603269
94,100,30,4,0.033517
94,100,30,6,
23,100,31,2,
23,100,31,4,0.023828
23,100,31,6,
92,100,32,2,12.451949
92,100,32,4,0.009707
92,100,32,6,
60,1000,26,2,
60,1000,26,4,0.015085
60,1000,26,6,33.819537
17,1000,27,2,
17,1000,27,4,0.033397
17,1000,27,6,74.075574
36,1000,28,2,109.626148
36,1000,28,4,0.012138
36,1000,28,6,161.70978
48,1000,29,2,176.876656
48,1000,29,4,0.039342
48,1000,29,6,
87,1000,30,2,1.585715
87,1000,30,4,0.007382
87,1000,30,6,
28,1000,31,2,
28,1000,31,4,0.040539
28,1000,31,6,
50,1000,32,2,50.632419
50,1000,32,4,0.013324
50,1000,32,6,
31,5000,26,2,14.413152
31,5000,26,4,0.006623
31,5000,26,6,33.356099
51,5000,27,2,0.957071
51,5000,27,4,0.007504
51,5000,27,6,73.625796
32,5000,28,2,15.44928
32,5000,28,4,0.012827
32,5000,28,6,161.131993
66,5000,29,2,28.526183
66,5000,29,4,0.007975
66,5000,29,6,
15,5000,30,2,16.012337
15,5000,30,4,0.006163
15,5000,30,6,
39,5000,31,2,22.348348
39,5000,31,4,0.010245
39,5000,31,6,
98,5000,32,2,490.566216
98,5000,32,4,0.007777
98,5000,32,6,
67,100,26,2,11.964662
67,100,26,4,0.212237
67,100,26,6,
95,100,27,2,34.6714
95,100,27,4,5.403304
95,100,27,6,
96,100,28,2,481.42555
96,100,28,4,0.020581
96,100,28,6,258.089601
76,100,29,2,
76,100,29,4,0.007058
76,100,29,6,
36,100,30,2,27.607776
36,100,30,4,0.02192
36,100,30,6,
7,100,31,2,46.544503
7,100,31,4,0.026393
7,100,31,6,
86,100,32,2,
86,100,32,4,0.14592
86,100,32,6,
22,1000,26,2,121.017104
22,1000,26,4,0.005762
22,1000,26,6,33.609018
8,1000,27,2,44.068666
8,1000,27,4,0.005714
8,1000,27,6,74.139108
81,1000,28,2,0.384915
81,1000,28,4,0.005682
81,1000,28,6,161.523263
93,1000,29,2,
93,1000,29,4,0.054715
93,1000,29,6,
2,1000,30,2,0.417775
