seed,gridsize,ncount,method,runtime
66,1000,17,2,8.549538
66,1000,17,3,0.593188
66,1000,17,4,0.002725
66,1000,17,5,0.091156
66,1000,17,6,0.026499
34,1000,18,1,492.99474
34,1000,18,2,0.496012
34,1000,18,3,1.338201
34,1000,18,4,0.002942
34,1000,18,5,0.257134
34,1000,18,6,0.059332
2,1000,19,1,182.952798
2,1000,19,2,0.535956
2,1000,19,3,3.131839
2,1000,19,4,0.002814
2,1000,19,5,1.145531
2,1000,19,6,0.131115
25,5000,5,1,0.000002
25,5000,5,2,0.001782
25,5000,5,3,0.000024
25,5000,5,4,0.001106
25,5000,5,5,0.000005
25,5000,5,6,0.000006
2,5000,6,1,0.000004
2,5000,6,2,0.004303
2,5000,6,3,0.000042
2,5000,6,4,0.000797
2,5000,6,5,0.000008
2,5000,6,6,0.000008
79,5000,7,1,0.00002
79,5000,7,2,0.069828
79,5000,7,3,0.000091
79,5000,7,4,0.000946
79,5000,7,5,0.000015
79,5000,7,6,0.000012
54,5000,8,1,0.000068
54,5000,8,2,0.004345
54,5000,8,3,0.000205
54,5000,8,4,0.000844
54,5000,8,5,0.000033
54,5000,8,6,0.000021
29,5000,9,1,0.000468
29,5000,9,2,0.012382
29,5000,9,3,0.000491
29,5000,9,4,0.000893
29,5000,9,5,0.000071
29,5000,9,6,0.000041
30,5000,10,1,0.001656
30,5000,10,2,0.032398
30,5000,10,3,0.001196
30,5000,10,4,0.000965
30,5000,10,5,0.000157
30,5000,10,6,0.000088
99,5000,11,1,0.011112
99,5000,11,2,0.205734
99,5000,11,3,0.002959
99,5000,11,4,0.00124
99,5000,11,5,0.000359
99,5000,11,6,0.000199
30,5000,12,1,0.108212
30,5000,12,2,0.060679
30,5000,12,3,0.007163
30,5000,12,4,0.001391
30,5000,12,5,0.00087
30,5000,12,6,0.000448
91,5000,13,1,0.155339
91,5000,13,2,0.059628
91,5000,13,3,0.017244
91,5000,13,4,0.001371
91,5000,13,5,0.002154
91,5000,13,6,0.001025
22,5000,14,1,1.022788
22,5000,14,2,0.1299
22,5000,14,3,0.041132
22,5000,14,4,0.0016
22,5000,14,5,0.005626
22,5000,14,6,0.002368
32,5000,15,1,4.821797
32,5000,15,2,5.126193
32,5000,15,3,0.0989
32,5000,15,4,0.002511
32,5000,15,5,0.014183
32,5000,15,6,0.005313
9,5000,16,1,19.207495
9,5000,16,2,4.23966
9,5000,16,3,0.240972
9,5000,16,4,0.003326
9,5000,16,5,0.037158
9,5000,16,6,0.011873
20,5000,17,1,52.204277
20,5000,17,2,1.514246
20,5000,17,3,0.590368
20,5000,17,4,0.002343
20,5000,17,5,0.091044
20,5000,17,6,0.026568
18,5000,18,1,485.739866
18,5000,18,2,7.348879
18,5000,18,3,1.344099
18,5000,18,4,0.004004
18,5000,18,5,0.266894
18,5000,18,6,0.059396
80,5000,19,1,
80,5000,19,2,6.376402
80,5000,19,3,3.198428
80,5000,19,4,0.003157
80,5000,19,5,1.123053
80,5000,19,6,0.132746
4,100,5,1,0.000007
4,100,5,2,0.000823
4,100,5,3,0.000038
4,100,5,4,0.001523
4,100,5,5,0.00001
4,100,5,6,0.000009
28,100,6,1,0.000005
28,100,6,2,0.000161
28,100,6,3,0.000057
28,100,6,4,0.001397
28,100,6,5,0.000009
28,100,6,6,0.00001
5,100,7,1,0.000017
5,100,7,2,0.001302
5,100,7,3,0.0001
5,100,7,4,0.001522
5,100,7,5,0.000019
5,100,7,6,0.000014
61,100,8,1,0.000053
61,100,8,2,0.101687
61,100,8,3,0.000218
61,100,8,4,0.001497
61,100,8,5,0.000036
61,100,8,6,0.000023
48,100,9,1,0.000197
48,100,9,2,0.072684
48,100,9,3,0.000525
48,100,9,4,0.001326
48,100,9,5,0.000075
48,100,9,6,0.000045
93,100,10,1,0.001183
93,100,10,2,0.003607
93,100,10,3,0.001294
93,100,10,4,0.001283
93,100,10,5,0.000164
93,100,10,6,0.000091
9,100,11,1,0.015458
9,100,11,2,0.007412
9,100,11,3,0.003087
9,100,11,4,0.001777
9,100,11,5,0.000373
9,100,11,6,0.000205
43,100,12,1,0.054612
43,100,12,2,0.011258
43,100,12,3,0.007217
43,100,12,4,0.001708
43,100,12,5,0.000894
43,100,12,6,0.000462
63,100,13,1,0.129595
63,100,13,2,0.222862
63,100,13,3,0.017542
63,100,13,4,0.003413
63,100,13,5,0.002174
63,100,13,6,0.00105
71,100,14,1,0.74587
71,100,14,2,0.000947
71,100,14,3,0.042102
71,100,14,4,0.001598
71,100,14,5,0.005689
71,100,14,6,0.002396
62,100,15,1,4.473853
62,100,15,2,0.241337
62,100,15,3,0.0995
62,100,15,4,0.003951
62,100,15,5,0.014127
62,100,15,6,0.0053
5,100,16,1,26.524886
5,100,16,2,0.064192
5,100,16,3,0.238021
5,100,16,4,0.003052
5,100,16,5,0.037144
5,100,16,6,0.01188
36,100,17,1,62.354405
36,100,17,2,2.719186
36,100,17,3,0.592349
36,100,17,4,0.003202
36,100,17,5,0.091086
36,100,17,6,0.026524
45,100,18,1,283.135568
45,100,18,2,0.212247
45,100,18,3,1.337177
45,100,18,4,0.003178
45,100,18,5,0.269424
45,100,18,6,0.059366
89,100,19,1,
89,100,19,2,0.152161
89,100,19,3,3.144548
89,100,19,4,0.002772
89,100,19,5,1.17804
89,100,19,6,0.131185
23,1000,5,1,0.000001
23,1000,5,2,0.001292
23,1000,5,3,0.000024
23,1000,5,4,0.001132
23,1000,5,5,0.000005
23,1000,5,6,0.000006
64,1000,6,1,0.000005
64,1000,6,2,0.000832
64,1000,6,3,0.000041
64,1000,6,4,0.000806
64,1000,6,5,0.000007
64,1000,6,6,0.000008
12,1000,7,1,0.000019
12,1000,7,2,0.010508
12,1000,7,3,0.000092
12,1000,7,4,0.000971
12,1000,7,5,0.000015
12,1000,7,6,0.000011
62,1000,8,1,0.000075
62,1000,8,2,0.002374
62,1000,8,3,0.000217
62,1000,8,4,0.000871
62,1000,8,5,0.000033
62,1000,8,6,0.000021
1,1000,9,1,0.000415
1,1000,9,2,0.02254
1,1000,9,3,0.000513
1,1000,9,4,0.001177
1,1000,9,5,0.000071
1,1000,9,6,0.000042
96,1000,10,1,0.003187
96,1000,10,2,0.01022
96,1000,10,3,0.001234
96,1000,10,4,0.001147
96,1000,10,5,0.00016
96,1000,10,6,0.000089
98,1000,11,1,0.007785
98,1000,11,2,0.074114
98,1000,11,3,0.003036
98,1000,11,4,0.001406
98,1000,11,5,0.000372
98,1000,11,6,0.000201
88,1000,12,1,0.02185
88,1000,12,2,0.040378
88,1000,12,3,0.007365
88,1000,12,4,0.001617
88,1000,12,5,0.000901
88,1000,12,6,0.000459
57,1000,13,1,0.108092
57,1000,13,2,0.368561
57,1000,13,3,0.017263
57,1000,13,4,0.002217
57,1000,13,5,0.002198
57,1000,13,6,0.001043
22,1000,14,1,2.135864
22,1000,14,2,0.243697
22,1000,14,3,0.041142
22,1000,14,4,0.001848
22,1000,14,5,0.005798
22,1000,14,6,0.002367
81,1000,15,1,0.726425
81,1000,15,2,0.502384
81,1000,15,3,0.098768
81,1000,15,4,0.002341
81,1000,15,5,0.014217
81,1000,15,6,0.005301
52,1000,16,1,21.331524
52,1000,16,2,0.143243
52,1000,16,3,0.239314
52,1000,16,4,0.00214
52,1000,16,5,0.037412
52,1000,16,6,0.011983
39,1000,17,1,220.577455
39,1000,17,2,0.127475
39,1000,17,3,0.590179
39,1000,17,4,0.002898
39,1000,17,5,0.091324
39,1000,17,6,0.026511
44,1000,18,1,
44,1000,18,2,0.15403
44,1000,18,3,1.337165
44,1000,18,4,0.005074
44,1000,18,5,0.259957
44,1000,18,6,0.059353
58,1000,19,1,
58,1000,19,2,4.371321
58,1000,19,3,3.133494
58,1000,19,4,0.004619
58,1000,19,5,1.21788
58,1000,19,6,0.132067
4,5000,5,1,0.000002
4,5000,5,2,0.00241
4,5000,5,3,0.000023
4,5000,5,4,0.001115
4,5000,5,5,0.000005
4,5000,5,6,0.000005
18,5000,6,1,0.000004
18,5000,6,2,0.004681
18,5000,6,3,0.000041
18,5000,6,4,0.000813
18,5000,6,5,0.000008
18,5000,6,6,0.000007
21,5000,7,1,0.000018
21,5000,7,2,0.00814
21,5000,7,3,0.00009
21,5000,7,4,0.000818
21,5000,7,5,0.000015
21,5000,7,6,0.000011
12,5000,8,1,0.000073
12,5000,8,2,0.002016
12,5000,8,3,0.000207
12,5000,8,4,0.000848
12,5000,8,5,0.000033
12,5000,8,6,0.000021
23,5000,9,1,0.000357
23,5000,9,2,0.038506
23,5000,9,3,0.000495
23,5000,9,4,0.001039
23,5000,9,5,0.000071
23,5000,9,6,0.000042
99,5000,10,1,0.002668
99,5000,10,2,0.195687
99,5000,10,3,0.001226
99,5000,10,4,0.001166
