seed,gridsize,ncount,method,besttour,runtime
28,5000,29,4,24561,0.009744
28,5000,29,6,,
92,5000,30,2,24852,5.754357
92,5000,30,4,22206,0.004848
92,5000,30,6,,
93,5000,31,2,22742,5.260638
93,5000,31,4,21308,0.01656
93,5000,31,6,,
39,5000,32,2,24392,84.810399
39,5000,32,4,22690,0.006859
39,5000,32,6,,
2,100,26,2,497,133.05797
2,100,26,4,452,0.015991
2,100,26,6,452,15.034799
52,100,27,2,423,1.2472
52,100,27,4,417,0.003302
52,100,27,6,417,33.70997
61,100,28,2,473,0.587806
61,100,28,4,401,0.285241
61,100,28,6,,
28,100,29,2,505,73.131184
28,100,29,4,463,0.003652
28,100,29,6,,
93,100,30,2,455,0.053548
93,100,30,4,449,0.002089
93,100,30,6,,
59,100,31,2,,
59,100,31,4,468,0.159546
59,100,31,6,,
56,100,32,2,543,163.510751
56,100,32,4,475,0.007388
56,100,32,6,,
89,1000,26,2,4090,8.699716
89,1000,26,4,3761,0.00369
89,1000,26,6,3761,15.006878
93,1000,27,2,4205,168.803322
93,1000,27,4,4087,0.012207
93,1000,27,6,4087,32.303645
36,1000,28,2,4486,67.015312
36,1000,28,4,4237,0.005887
36,1000,28,6,4237,69.435391
22,1000,29,2,4096,126.881983
22,1000,29,4,3995,0.014474
22,1000,29,6,,
41,1000,30,2,5189,4.635248
41,1000,30,4,4717,0.003358
41,1000,30,6,,
37,1000,31,2,5233,5.494025
37,1000,31,4,4475,0.005448
37,1000,31,6,,
74,1000,32,2,6023,101.012982
74,1000,32,4,5158,0.037786
74,1000,32,6,,
23,5000,26,2,24565,12.154084
23,5000,26,4,22503,0.02048
23,5000,26,6,22503,15.005792
52,5000,27,2,22982,3.739496
52,5000,27,4,21827,0.002532
52,5000,27,6,21827,32.267743
60,5000,28,2,25726,4.696151
60,5000,28,4,23119,0.004027
60,5000,28,6,23119,69.448973
68,5000,29,2,23967,2.043068
68,5000,29,4,21849,0.004404
68,5000,29,6,,
15,5000,30,2,25878,9.920057
15,5000,30,4,24318,0.003071
15,5000,30,6,,
57,5000,31,2,22982,50.779953
57,5000,31,4,20950,0.005254
57,5000,31,6,,
11,5000,32,2,24837,275.795743
11,5000,32,4,22416,0.026671
11,5000,32,6,,
25,100,26,2,410,43.81997
25,100,26,4,392,0.003834
25,100,26,6,,
23,100,27,2,,
23,100,27,4,419,0.008737
23,100,27,6,419,32.503573
5,100,28,2,489,3.533806
5,100,28,4,447,0.003705
5,100,28,6,,
92,100,29,2,443,4.749352
92,100,29,4,411,0.003697
92,100,29,6,,
9,100,30,2,513,60.136123
9,100,30,4,496,0.004066
9,100,30,6,,
35,100,31,2,475,2.73748
35,100,31,4,452,0.005771
35,100,31,6,,
52,100,32,2,490,10.051186
52,100,32,4,459,0.006753
52,100,32,6,,
60,1000,26,2,,
60,1000,26,4,4163,0.008182
60,1000,26,6,4163,15.45003
74,1000,27,2,5771,7.897383
74,1000,27,4,4692,0.041284
74,1000,27,6,4692,148.325972
47,1000,28,2,,
47,1000,28,4,4706,0.027657
47,1000,28,6,4706,70.653617
81,1000,29,2,5523,0.120655
81,1000,29,4,4895,0.288546
81,1000,29,6,,
98,1000,30,2,4711,30.766475
98,1000,30,4,4440,0.006904
98,1000,30,6,,
45,1000,31,2,5870,2.947929
45,1000,31,4,5053,0.00474
45,1000,31,6,,
4,1000,32,2,5155,5.028503
4,1000,32,4,4812,0.007996
4,1000,32,6,,
43,5000,26,2,20866,0.742833
43,5000,26,4,19766,0.002353
43,5000,26,6,19766,15.00978
6,5000,27,2,23501,3.022336
6,5000,27,4,22178,0.003548
6,5000,27,6,22178,32.309239
26,5000,28,2,22230,14.60487
26,5000,28,4,21156,0.004578
26,5000,28,6,,
2,5000,29,2,25120,5.921569
2,5000,29,4,23939,0.00374
2,5000,29,6,,
47,5000,30,2,23839,9.418545
47,5000,30,4,21600,0.039464
47,5000,30,6,,
11,5000,31,2,23673,38.005512
11,5000,31,4,21470,0.005477
11,5000,31,6,,
96,5000,32,2,25348,1.809746
96,5000,32,4,24148,0.004786
96,5000,32,6,,
74,100,26,2,412,0.101998
74,100,26,4,398,0.001719
74,100,26,6,398,15.054271
41,100,27,2,423,0.725252
41,100,27,4,416,0.004147
41,100,27,6,,
39,100,28,2,418,0.493953
39,100,28,4,398,0.003686
39,100,28,6,,
28,100,29,2,505,78.703024
28,100,29,4,463,0.430565
28,100,29,6,,
84,100,30,2,529,40.833409
84,100,30,4,483,2.060397
84,100,30,6,,
86,100,31,2,,
86,100,31,4,430,0.070094
86,100,31,6,,
91,100,32,2,536,29.204855
91,100,32,4,492,0.012449
91,100,32,6,,
71,1000,26,2,4712,49.318546
71,1000,26,4,4429,0.18236
71,1000,26,6,,
3,1000,27,2,4681,26.883799
3,1000,27,4,4304,2.886255
3,1000,27,6,,
74,1000,28,2,6075,31.698817
74,1000,28,4,4865,0.694895
74,1000,28,6,,
